Fiche client,Non,Prénom,E-mail,Âge,Sex,CIN,Activité,NumCompte,Décision,Décideur,Date decision,Date ouverture,Date de crédit,Montant de crédit,Code client,Nom de chargé clientèle,Solde Débit,Nature de compte,Mouvement,Référence dossier recouvrement,Cours de crédit,Anc,Anc debit (date)
1,Patterson,Sheri,paula18@example.net,60,F,666512924268,Tourisme,73623,CTX,CCT,2023-07-11,2023-03-15,2023-07-19,790525,CUST1,Connie Duran,1033,TRE,Versement,REF1,4.07,9,2022-10-24
2,Thomas,Patrick,jesse15@example.org,21,F,916646731345,Tourisme,25719,CTX,CCT,2020-01-01,2023-08-19,2023-06-30,975492,CUST2,Laura Campbell,4462,TRE,Retrait,REF2,4.06,1,2022-02-12
3,Ballard,Adam,eturner@example.com,65,F,898098379673,Tourisme,19371,Arrangement C.,CR,2021-07-14,2023-08-27,2023-09-15,832652,CUST3,Nichole Bowman,1746,TRE,Retrait,REF3,4.76,9,2022-08-29
4,Durham,Jenny,phillipslauren@example.com,26,M,893245839464,Travaux Publics,32702,Arrangement C.,CCT,2023-03-23,2023-02-20,2022-12-02,427914,CUST4,Joseph Patton,2748,TRE,Versement,REF4,2.34,10,2022-10-29
5,Garner,Jessica,jamesmccoy@example.org,56,F,470066279629,Transport,74213,CTX,CR,2023-05-14,2023-08-14,2023-01-22,822047,CUST5,Brian West,1355,Personnel,Retrait,REF5,4.11,6,2023-03-26
6,Phillips,Tyler,carrollrachel@example.com,19,F,435395410589,Agriculture,67500,CTX,CCT,2018-10-26,2022-12-24,2022-12-28,919128,CUST6,Robert Jones,3237,Société,Versement,REF6,3.58,10,2023-02-22
7,Bentley,Matthew,chadhill@example.org,64,F,778947883679,Santé,43027,CTX,CCT,2018-12-12,2023-05-24,2022-12-10,323523,CUST7,Stephen White,339,Personnel,Versement,REF7,2.16,10,2022-07-10
8,Allen,Justin,margaretdaniels@example.com,47,F,641929914678,Agriculture,62399,Arrangement C.,CCT,2019-07-28,2023-09-28,2023-08-15,837450,CUST8,Mrs. Ashley Fuller,4221,Société,Versement,REF8,1.89,3,2022-01-04
9,Hill,Nicholas,dwaynebrown@example.com,22,F,25005217055,Autre activité,81667,CTX,CCT,2023-07-17,2023-10-03,2023-08-19,678148,CUST9,Curtis Johnson,3804,TRE,Versement,REF9,1.29,2,2022-02-09
10,Brewer,Crystal,john90@example.net,25,M,622516942349,Santé,61506,Arrangement C.,CR,2019-04-07,2023-07-20,2022-10-26,659442,CUST10,Gabriela Long,2090,TRE,Versement,REF10,1.13,5,2022-01-08
11,Calderon,Keith,walkerruth@example.com,60,F,619421788797,Agriculture,22029,CTX,CCT,2019-09-05,2022-12-10,2023-05-23,82434,CUST11,Travis Mckee,4625,Société,Virement,REF11,3.09,6,2021-12-28
12,Haas,Amanda,cthornton@example.org,20,M,358908706418,Tourisme,98927,CTX,CR,2020-11-24,2023-09-12,2023-02-13,208685,CUST12,Kimberly Moore,3481,Personnel,Retrait,REF12,4.98,5,2022-09-28
13,Brown,Kevin,amy15@example.com,60,F,747028314112,Commerce et Dist.,21879,CTX,CCT,2019-06-16,2022-10-31,2023-09-29,53408,CUST13,Stacy Ruiz,2098,Société,Retrait,REF13,1.08,5,2022-06-22
